Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
1008BK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",165.7,"8 ,⁄,9 ,⁄,4 ,⁄,21.0 X 23.2 X 11.7",25.7 X 28.6 X 13.0,,,100,20,Cakes,"Bakery,Processor,Supermarket",2 Piece
1007BK,"Cake container designed for a double layer 7"" cake",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",123.4,"7 ,⁄,8 ,⁄,4 ,⁄,19.1 X 20.8 X 11.3",23.0 X 26.0 X 12.7,,,100,16.6,Cakes,"Bakery,Processor,Supermarket",2 Piece
1007SBK,"Cake container designed for a single layer 7"" cake",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",83.5,"7 ,⁄,8 ,⁄,2 ,⁄,19.1 X 20.8 X 7.3",23.0 X 26.0 X 8.7,,,100,14.7,Cakes,"Bakery,Processor,Supermarket",2 Piece
1008SBK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",119,"8 ,⁄,9 ,⁄,3 ,⁄,21.0 X 23.2 X 8.4",25.7 X 28.6 X 9.8,,,100,18,Cakes,"Bakery,Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
1009BK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",223.2,"9 ,⁄,10 ,⁄,5 ,⁄,24.1 X 25.7 X 13.2",27.9 X 31.6 X 14.6,,,50,12.5,Cakes,"Bakery,Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1009SBK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",156.2,"9 ,⁄,10 ,⁄,3 ,⁄,24.1 X 25.7 X 9.0",27.9 X 31.6 X 10.5,,,50,11.3,Cakes,"Bakery,Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
1010BK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",247.2,"10 ,⁄,11 ,⁄,4 ,⁄,26.4 X 28.4 X 12.4",30.8 X 34.0 X 14.0,,,50,15.7,Cakes,"Bakery,Processor,Supermarket",
,,,,,,,,,,,,,,
1010SBK,"Essentials EZ OPEN® is a family of 10 items, available in both dome and shallow lid",https://www.inlineplastics.com/product_line/ezopen/,1,"

                                            ",173.8,"10 ,⁄,11 ,⁄,3 ,⁄,26.8 X 28.4 X 8.6",30.8 X 34.0 X 10.2,,,50,13.4,Cakes,"Bakery,Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CC2Q,2oz square insert,https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",2,"2 ,⁄,2 ,⁄,⁄,6.7 X 6.7 X 2.4",9.2 X 9.2 X 1.9,,,1200,9.4,"Produce,Product Add on's,Snacks","C-Store,Food Service,Processor,Supermarket",Inserts
,,,,,,,,,,,,,,
CC4R,"Safe-T-Fresh® SnackCups is a family of 7+ items available in vented, dome and shallow lids",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",4,"2 ,⁄,2 ,⁄,1 ,⁄,6.8 X 6.8 X 4.4",9.2 X 9.2 X 4.4,,,1200,11.7,"Produce,Product Add on's,Snacks","C-Store,Food Service,Processor,Supermarket",Inserts
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CCLR,"Safe-T-Fresh® SnackCups is a family of 7+ items available in vented, dome and shallow lids",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",n/a,"3,3,⁄,7.6 X 7.6 X 0.6",7.6 X 7.6 X 1.0,,,1200,7.3,"Produce,Product Add on's,Snacks","C-Store,Food Service,Processor,Supermarket",Inserts
,,,,,,,,,,,,,,
CF6030,Essentials Crystal Fresh® is a family of 7 items with a perimeter seal with enticing presentation,https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",52.8,"8 ,⁄,5 ,⁄,1 ,⁄,22.2 X 14.6 X 4.6",24.8 X 17.1 X 5.2,,,140,12.4,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
,,,,,,,,,,,,,,
CF6035,"Perimeter seal, no rib design with a  rectangular 8.32 x 4.32 single compartment",https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",59.9,"8 ,⁄,4 ,⁄,3,21.1 X 11.0 X 7.6",23.7 X 13.5 X 8.3,,,192,14.5,"Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
CF6040,Essentials Crystal Fresh® is a family of 7 items with a perimeter seal with enticing presentation,https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",74.7,"8 ,⁄,5 ,⁄,2 ,⁄,22.2 X 14.6 X 7.0",24.8 X 17.1 X 7.6,,,132,13.4,"Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
CF6070,Essentials Crystal Fresh® is a family of 7 items with a perimeter seal with enticing presentation,https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",101.4,"7 ,⁄,7 ,⁄,3 ,⁄,19.5 X 19.4 X 7.9",21.9 X 22.1 X 8.6,,,132,15,"Cakes,Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
CF6080,Essentials Crystal Fresh® is a family of 7 items with a perimeter seal with enticing presentation,https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",130.2,"9 ,⁄,7 ,⁄,3 ,⁄,23.7 X 18.7 X 8.6",27.6 X 21.4 X 9.2,,,132,19.4,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
CF6090,"Perimeter seal, no rib design with a  rectangular 12.69 x 5.57 single compartment",https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",89.6,"12 ,⁄,5 ,⁄,2 ,⁄,32.2 X 14.1 X 5.9",34.9 X 17.1 X 6.5,,,132,17.2,"Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
CF6095,"Perimeter seal, no rib design with a  rectangular 12.69 x 5.57 single compartment",https://www.inlineplastics.com/product_line/crystalfresh/,1,"

                                            ",101.4,"12 ,⁄,5 ,⁄,2 ,⁄,32.2 X 14.1 X 6.4",34.9 X 17.1 X 7.0,,,132,17.2,"Cakes,Cookies & Donuts,Danish & Loafcakes,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,Food Service,Processor,Supermarket",Perimeter Seal
COUNTER-RACK,A 3 tier spinner counter- top rack with 12 hooks.  White epoxy finish.  Easy to assemble.  Sign holder included.,https://www.inlineplastics.com/product_line/rectangles/,n/a,"

                                            ",n/a,"X ,24,0.0 X 0.0 X 61.0",30.5 X 30.5 X 61.0,,,1,1,Product Add on's,"C-Store,Supermarket",Hangable
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FMT2LRT,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,2,2 (3 1/16 X 2 9/16  X 13/16),,"4.2,124",17.6 X 9.2 X 2.1,17.6 X 9.2 X 2.1,N/A,360,4.6,"Produce,Product Add on's,Salads & Sandwiches","C-Store,Food Service,Processor,Supermarket",Inserts
,,,,,,,,,,,,,,
FMT2MRT,"2 compartment Flip N Mix™ tray insert that is compatible with the TS20, TS24, and TS32",https://www.inlineplastics.com/product_line/rectangles/,2,2 (2 7/8 X 2 7/16  X 13/16),,"4,117",16.7 X 7.9 X 2.1,16.7 X 7.9 X 2.1,N/A,360,4.6,"Produce,Product Add on's,Salads & Sandwiches","C-Store,Food Service,Processor,Supermarket",Inserts
FMT3LRT,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,3,3 (1 Center) 3 9/16  X 1 15/16  X 13/16 ( 2 Outside) 3 1/4 X 1 13/16  X 13/16,,"4.3,127",17.6 X 9.2 X 2.1,17.6 X 9.2 X 2.1,N/A,360,5.1,"Produce,Product Add on's,Salads & Sandwiches","C-Store,Food Service,Processor,Supermarket",Inserts
FMT3MRT,"3 compartment Flip N Mix™ tray insert that is compatible with the TS20, TS24, and TS32",https://www.inlineplastics.com/product_line/rectangles/,3,3 (1 Center) 2 7/8  X 1 7/16  X 13/16 ( 2 Outside) 3 1/4 X 1 13/16  X 13/16,,"3.5,104",16.7 X 7.9 X 2.1,16.7 X 7.9 X 2.1,N/A,360,5.1,"Produce,Product Add on's,Salads & Sandwiches","C-Store,Food Service,Processor,Supermarket",Inserts
PL042C,Two piece platter  with 5 compartments,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (2 3/4 X 1 1/2 X 1 11/16) 4 (5 1/4 X 2 7/8 X 1 11/16),,"42,1242",22.9 X 22.9 X 4.4,26.0 X 26.0 X 5.7,2 piece,100,17.1,"Produce,Snacks","Processor,Supermarket",2 Piece
PL054C,Two piece platter  with 5 compartments,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (2 3/4 X 1 1/2 X 2 1/4) 4 (5 1/4 X 2 7/8 X 2 1/4),,"54,1597",22.9 X 22.9 X 5.7,26.0 X 26.0 X 7.0,2 piece,100,17.1,"Produce,Snacks","Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PL065C,Two piece platter  with 5 compartments,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (2 3/4 X 1 1/2) 4 (5 1/4 X 2 7/8 X 2 1/4),,"65,1922",22.9 X 22.9 X 7.0,26.0 X 26.0 X 8.3,2 piece,100,19.5,"Produce,Snacks","Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
PL096C,Two piece platter  with 5 compartments,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (4 3/8 X 2 1/8 X 2 1/4) 4 (7 1/4 X 3 3/8 X 2 1/4),,"96,2839",29.8 X 29.8 X 5.7,33.0 X 33.0 X 7.0,2 piece,50,17.1,"Produce,Snacks","Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
PL115C,Essentials Party Platter family includes 6 options in multiple sizes,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (4 3/8 X 2 1/8 X 2 3/4) 4 (7 1/4 X 3 3/8 X 2 3/4),,"115,3401",29.8 X 29.8 X 7.0,33.0 X 33.0 X 8.3,2 piece,50,18.4,"Produce,Snacks","Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PL142C,Essentials Party Platter family includes 6 options in multiple sizes,https://www.inlineplastics.com/product_line/partyplatters/,5,1 (4 3/8 X 2 1/8 X 3 1/2) 4 (7 1/4 X 3 3/8 X 3 1/2),,"142,4200",29.8 X 29.8 X 8.9,33.0 X 33.0 X 10.2,2 piece,50,19.4,"Produce,Snacks","Processor,Supermarket",2 Piece
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
